№ п/п;Дата платежа ;Назначение платежа;Сумма;
1105;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Колкамыс с 10- 19 уч) Авторский надзор/ Договор №11-02-6-193 от 12.06.2024г/Строительство одноэтажных домов, пострадавших от
паводков.";750 000;
1106;11.09.2024;"ТОО ""Институт Агропромпроект""2-этап- Костанай обл, с. Тауш, на уч с№18 - №22) Авторский надзор/ Договор №11-02-6-206 от 12.06.2024г. /Строительство одноэтажных домов, пострадавших от
паводков.";187 500;
1107;11.09.2024;"ТОО ""Институт Агропромпроект""2 этап- Костанай обл, с. Тауш, на уч с№1 - №10) Авторский надзор/ Договор №11-02-6-204 от 12.06.2024г.  АВР №63 от 15.07.2024 года, /Строительство одноэтажных домов, пострадавших от паводков.";375 000;
1108;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды, 6 домов Авторский надзор/ Договор №11-02-6-207 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";450 000;
1109;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Колкамыс, 9 домов Авторский надзор/ Договор №11-02-6-194 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";675 000;
1110;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Алтынсарино, 21 дом Авторский надзор/ Договор №11-02-6-234 от 13.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";1 575 000;
1111;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды,3 дома Авторский надзор/ Договор №11-02-6-199 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";150 000;
1112;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Карасу,2 дома Авторский надзор/ Договор №11-02-6-196 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";150 000;
1113;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды,3 дома Авторский надзор/ Договор №11-02-6-202 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";225 000;
1114;11.09.2024;"OM Interactive Ltd Окончательная оплата 70% (за 2 комнаты)  по Договору поставки  №09-02-3-237 от 30.05.2024г. Сумма 63 348.60 GBP/ для оснащения 8 Реабилитационных центров   в рамках проекта  ""QH Аудандық оңалту орталықтары"" Invoice  №INV-1094
от 26.08.2024г.";39 715 771;
1115;11.09.2024;"ТОО ""STEM ACADEMIA""Оплата  по факту поставки  по Договорам  №2/16, №2/17 от 26.06.24г. №2/18,№2/20, №2/22,
№2/23  от 27.06.2024г . проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)"" (КГУ«СШ им. Ораза Саргунанова» ОО Макатского р-на УО Атырау области») (КГУ
«Общеобраз. школа им.Дюйсенгали Толенова» ОО Махамбетского р-на УО Атырауской области»)(КГУ «Школа-гимназия Жаңақала»ОО Жангалинского р-на УО акимата ЗКО»)(КГУ«Общеобраз. школа №1» ОО Акжаикского района УО
акимата ЗКО»)";824 591 431;
1116;11.09.2024;"ТОО ""Альянс-Техносервис""Оплата по факту поставки  по Договорам  №2/13, №2/14 от 25.06.24г., 26.06.2024г  проект ""Развитие потенциала опорных школ в сельской местности  (2
этап)""Костанайская область";430 348 692;
1117;11.09.2024;"ТОО ""QURMET INDUSTRY""Оплата  по факту поставки   по Договорам №02/37 от 03.07.2024г  /КГУ «Школа-гимназия Сарыкемер» отдела образования Байзакского района УО акимата Жамбылской области»/ проект  ""Развитие потенциала опорных
школ в сельской местности  (2 этап)""";107 222 653;
1118;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды,3 дома Авторский надзор/ Договор №11-02-6-201 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";225 000;
1119;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды,3 дома Авторский надзор/ Договор №11-02-6-200 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";225 000;
1120;11.09.2024;"ТОО ""Институт Агропромпроект"" Костанай обл, с.Амангельды,3 дома Авторский надзор/ Договор №11-02-6-203 от 12.06.2024г.
/Строительство одноэтажных домов, пострадавших от паводков.";225 000;
1121;11.09.2024;"ТОО NURLINE IncПредоплата 50% по Договорам №11-02-6-313 от 28.08.2024г. Договор №11-02-6-314 от 28.08.2024г.Договор
№11-02-6-315 от 28.08.2024г.Договор №11-02-6-316 от
29.08.2024г.Договор №11-02-6-317 от 29.08.2024г.Договор №11-
02-6-318 от";77 207 816;
1122;11.09.2024;"ТОО ""ЖайыкСтройПроект""Предоплата 50% по Договорам №11-02 6-307 от 28.08.2024г. Договор №11-02-6-308 от
28.08.2024г.Договор №11-02-6-309 от 28.08.2024г.Договор №11-
02-6-310 от 28.08.2024г.Договор №11-02-6-311 от
28.08.2024г.Договор №11-02-6-312 от 28.08.2024г. /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно- Казахстанской области»";68 739 421;
1123;11.09.2024;"ТОО ""ZEIN INVEST"" Предоплата 50% по Договору поставки  №09 02-3-305 от 29.08.2024г.,  Поставка УЗИ (система ультразвуковая диагностическая медицинская-1 шт.) КГП на ПХВ «Больница г.
Шахтинск» УЗ КО проект ""QH Развитие кардиологической
службы в Карагандинской области""";24 000 000;
1124;11.09.2024;"ТОО ""НаноФарм""Предоплата 50% по Договорам поставки  №09- 02-3-302, №09-02-303, №09-02-3-304 от 29.08.2024г., (Поставка
Аппаратов для сердечно-легочной реанимации Easy pulse) проект
""QH Развитие кардиологической службы в Карагандинской области""";42 241 869;
1125;11.09.2024;"ТОО ""QazaQStyle""КГУ СШИ № 3, БП Физическое развитие воспитанников специальных школ-интернатов и Центров
поддержки детей Караганд. области и области Улытау";297 092 938;
1126;11.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение расходов за услуги (СВХ,услуги брокера) (Оборудование  поставщика Prolimpic Spolka Z) Договор №09-02-3-376 от 06.11.2023г./Заявка №19/Р-РЦ от 13.08.24г.  в рамках проекта   ""QH Аудандық оңалту
орталықтары""";344 022;
1127;11.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за услуги экспертного заключения Аккредитованного органа в области сертификации и декларации на продукцию, Отправка корреспонденции (доверенность на получение груза, АВР,Акты сверок) (Оборудование  поставщика Prolimpic Spolka Z,TOO Aspasia, JWORLD Industry ) Договор №09-02-3-376 от 06.11.2023г.Аудандык/Заявка №18/Р-РЦ от 05.08.24г в рамках
проекта   ""QH Аудандық оңалту орталықтары""";112 350;
1128;11.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за услуги складского хранения груза (Rehab, ООО БЕКА, ООО БИЭМ Групп, ООО ПК Лидер,  Blazebrite Experia) Договор №09-02-3-376 от 06.11.2023г.Аудандык/Заявка №21/Р-РЦ от 22.08.24г.  в рамках
проекта   ""QH Аудандық оңалту орталықтары""";1 756 577;
1129;11.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов по логистическим услугам по перевозке груза по Казахстану (Астана- Шалкар, Астана-Сарканд, Астана-Бейнеу,Астана-Жаксы, Астана- Кеген, Астана- Жанакорган)  (Rehab, ООО БЕКА, ООО БИЭМ Групп, ООО ПК Лидер, Jworld Industry, Blazebrite Experia, AksesMed)  Договор №09-02-3-376 от 06.11.2023г.Аудандык/Заявка №20/Р-РЦ от 22.08.24г.  в рамках
проекта   ""QH Аудандық оңалту орталықтары""";4 567 000;
1130;11.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов по логистическим услугам по перевозке груза по Казахстану (Астана,Петропавловск,СКО Шымкент, Жезказган, Улытау, Караганда, Кар.область, Павлодар, Павлодар.обл.(Rehab, ООО БИЭМ Групп, ООО ПК Лидер, Jworld Industry. AksesMed) , согласно Договора №09-02-3-9 от 05.04.2022 года Заявка №27/РЦ
от 22.08.24г  проект «QH Оңалту орталығы»";1 602 500;
1131;11.09.2024;"ТОО Sarapshy-QurylysОплата 50%  (Алтынсарино, Костанай обл, 21 домов) Технадзор по факту выполненных работ  по  Договор
№11-02-6-233 от 12.06.2024 год  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.  (Строительство одноквартирных жилых домов,Технический надзор,";4 462 500;
1132;12.09.2024;"ТОО ""Royal Engineering Kazakhstan""Оплата 100 % по факту поставки Счет  №000000014 от 28.08.24г. по  Договору №РЦ/2023- 9-3 от 26.03.24г. (Установка сенсорной комнаты, установка интерактивной комнаты)  для ГКП на ПХВ Соматический
санаторий Карлыгаш УЗ области Улытау";3 360 000;
1133;12.09.2024;"ТОО ""БЕЛЫЙ ВЕТЕР KZ""Оплата 100% по факту поставки по сч
№01200017533, №01200017535  от 05.09.24г.   по  Договорам
№РЦ-Р/2023-7-7 (Жамбыл), №РЦ-Р/2023-7-8 (Акмол обл) от 06.08.24г  проект ""QH Аудандык оңалту орталықтары""   (для КГПна ПХВ Жаксынская  РБ, УЗ Акмол обл) (для Жамбылская обл.спец.реабилит.центр УЗ Жамб.обл) Поставка Компьютер -8 шт., принтер -5шт., колонки-1 шт., пылесос -1, телевизор-1)";11 101 380;
1134;12.09.2024;"ИП Бисекенов (Бисекенов Айгали Агарысулы)Оплата по факту поставки  по  Договору  №РЦ-Р/2023-5-7  от 06.08.24г. (Акмол обл) проект ""QH Аудандык оңалту орталықтары""  по  Договору
№РЦ/2023-7-2  от 11.01.24г. (для КГПна ПХВ Жаксынская  РБ УЗ
Акмол области) /Шунгитовая комната -1 комплект)";4 700 000;
1135;12.09.2024;"ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)""Оплата 100
% по факту поставки  по сч №67  от 20.08.24г. проект ""QH Оңалту орталықтары""  по  Договору №РЦ/2023-1-2 от 11.01.24г.(СКО) (Комплекс ERGO -для восстановления мелкой моторики), для КГП на ПХВ «Многопрофильная детская областная больница» Управления здравоохранения акимата Северо-Казахстанской области
Корпоративный фонд «Қамқорлық қоры»";1 100 000;
1136;12.09.2024;"ТОО ""МК Интерна""Оплата 100 % по факту поставки  по сч №68 от 20.08.24г. проект ""QH Оңалту орталықтары""  по  Договору
№РЦ/2023-3-2  от 11.01.24г (СКО)  (Аппарат мультифункц.физиотерапевский -1 , Модуль магнитотерапии-1, Ванна бальнеологическая модель Гейзер-1),  Для ГКП на ПХВ
Многопроф.детская  обл.больница  УЗ СКО.";7 170 000;
1137;12.09.2024;"ТОО ""МебельBro""Окончательная оплата  70% по сч №32  от 20.08.24г. по  Договору №РЦ/2023-10-6 от 09.04.24г.(Для ГКПна ПХВ Реабилитационный  центр №2 УЗ г. Шымкент)    проект QH
Оналту орталыктары. (Мебель и декор -16 позиций)";6 209 140;
1138;12.09.2024;"ТОО ""Medicare International""Предоплата 50% на изготовление протеза бедра  для заявителя ID46122  проект ""Обеспечение инновационными протезно-ортопедическими изделиями детей и
молодежи  (14-29 лет) с инвалидностью""";2 750 000;
1139;12.09.2024;"АО ""Республиканский протезно-ортопедический центр""Предоплата 50% за изготовление протеза голени для ID 46593, Счет 164 от 06.09.2024, Договор №09-02-3-157 от
29.03.2024г№";438 780;
1140;12.09.2024;"ТОО ""Med Progress Pharm""Окончательная оплата 50%  по Сч
№263  от 02.09.24г. по Договору №09-02-3-232 от 28.05.24г. КГП ""Семейский центр оказания спец.соц.услуг №2 УЗК области Абай""/ Оборудование:  Аппарат для механотерапии ""Орторент"" модель МОТО, проект  «QH Шапағат Семей».";4 700 000;
1141;12.09.2024;"ТОО ""Raam Group"" Окончательная оплата 50% по сч № 109,110,111,112,113,114 от 04.09.24г., проект ""QH Развитие кардиолологической службы в Карагандинской области"" по Договорам:  №09-02-3-278, №09-02-3-279, №09-02-3-280, №09-02-
3-281, №09-02-3-282, №09-02-3-283 от 31.07.2024г.";9 900 000;
1142;12.09.2024;"ТОО ""ROUND KZ"" Окончат оплата 70% ""QH 76 детских спортивных залов"" от   по   Договорам  №11-02-6-164 от 11.06.24,
№11-02-6-297 от 13.08.24, № 11-02-6-266 от 27.06.24Актюб обл";13 630 750;
1143;12.09.2024;"ИП SPORT TIMEОкончат оплата 70% ""QH 76 детских спортивных
залов"" по договорам поставок: №11-02-6-296 от 13.08.24 счета на оплату № 256 от 05.09.24г.,";1 718 920;
1144;12.09.2024;"ТОО ""БЕЛЫЙ ВЕТЕР KZ""Оплата 100% по факту поставки по счету  №01200017530  от 05.09.24г.по  Договору  №РЦ-Р/2023-7-6 (Кызылорд обл) от 06.08.24г  проект ""QH Аудандык оңалту орталықтары""   (для КГПна ПХВ Аральская  многопроф.ЦРБ, УЗ Кызылорд обл) поставка Компьютер -8 шт., принтер -5шт.,
колонки-1 шт., пылесос -1, телевизор-1)";5 550 690;
1145;13.09.2024;ТОО «Kazakh Kazyna»Оплата (2 этап-Журавлевка,Акмол обл)  по факту выполненных работ по Договору  №11-02-6-304 от 19.08.2024 года (за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №22  от 11.09.2024г АВР №14 от 05.09.24г. (Строительство 12 одноквартирного жилого дома в с.Журавлевка, Буландынский р-он,Акмолинской области);55 914 924;
1146;13.09.2024;ТОО «Kazakh Kazyna»Оплата (3 этап-Журавлевка,Акмол обл)  по факту выполненных работ по Договору  №11-02-6-304 от 19.08.2024 года (за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №24  от 11.09.2024г АВР №16 от 06.09.24г. (Строительство 12 одноквартирного жилого дома в с.Журавлевка, Буландынский р-он,Акмолинской области);33 919 344;
1147;16.09.2024;"ТОО ""АВС-Лимитед""(Атырау Стр-во) Оплата (4 этап) Договор
№11-02-6-261  от 21.06.24г. СМР за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №8 от 04.09.2024г. АВР №13 от 04.09.24г. (Атырау обл, мкр-н
«Болашак», г. Кульсары) - 19 домов) / Строительство
одноквартирных  жилых домов пострадавшим от паводков/";87 147 773;
1148;16.09.2024;"ТОО ""Сыл""Оплата (2 этап) по факту выполненных работ  по Договор №11-02-6-235 от 13.06.2024 года за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.(г. Костанай, село
Алтынсарино.2 дома)";12 804 258;
1149;16.09.2024;"ТОО ""ROUND KZ""Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам №11-02-6-333,№11-02-6-334 от 09.09.24";3 186 300;
1150;16.09.2024;"ИП SPORT TIMEПредоплата 30% ""QH 76 детских спортивных
залов""  по договорам поставок: №11-02-6-335, 11-02-6-336, 11-02- 6-337, 11-02-6-338 от 09.09.24г.";2 970 720;
1151;16.09.2024;"ТОО ""Stem solutions""Оплата (2) по факту поставки  по Договору
№2/47 от 03.07.2024г  Счета №118  от 10.09.24г./ КГУ Средняя общеобразовательная школа № 2 им. Абая Кунанбаева"" ОО г. Экибастуза, УО Павлодарской области/, проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";60 435 924;
1152;16.09.2024;"ТОО ""Stem solutions""Оплата (2) по факту поставки  по Договору
№2/49 от 03.07.2024г  Счета №117  от 10.09.24г./ КГУ «Заринская средняя общеобразовательная школа», Павл.района УО Павлодарской области/, проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";167 902 317;
1153;16.09.2024;"ТОО MEDINA BuildingОплата (5 этап-Пригородное-РБК-Акмол обл)  по факту выполненных работ по Договору №11-02-6-272  от
18.08.24 г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №11 от 11.09.2024г. Акт выполненных работ №17 от 05.09.2024 года (Строительство 15 двухквартирного жилого дома в с.Пригородное, Жаркаинского
района,Акмолинской области)";7 710 720;
1154;16.09.2024;"ТОО MEDINA BuildingОплата (2 этап-Журавлевка-Акмол обл)  по факту выполненных работ по Договору №11-02-6-301 от 19.08.2024г.. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №11  от 11.09.2024г. АВР  №15 от 05.09.2024 года (Строительство 10 одноквартирного жилого дома в с.Журавлевка, Буландынского района,Акмолинской
области)";46 595 770;
1155;16.09.2024;"ТОО MEDINA BuildingОплата (3 этап-Журавлевка-Акмол обл)  по факту выполненных работ по Договору №11-02-6-301 от 19.08.2024г.. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №12  от 11.09.2024г. АВР  №19 от 06.09.2024 года (Строительство 10 одноквартирного жилого дома в с.Журавлевка, Буландынского района,Акмолинской
области)";28 266 120;
1156;16.09.2024;"ТОО «Kazakh Kazyna»Оплата (7 этап-Пригородное-РБК-Акмол обл)  по факту выполненных работ по Договору №11-02-6-271  от
10.07.24 г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №23 от 11.09.2024г. АВР №15 от 02.09.24г. (Строительство 15 двухквартирного жилого дома в с.Пригородное, Жаркаинского района,Акмолинской области)";15 421 440;
1157;16.09.2024;"ТОО ""Ибис-К""  Оплата (2 этап) Договор №11-02-6-268 от 09.07.24г. СМР за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №18  от 11.09.2024г АВР №30 от 31.08.24г.(Акмолинская обл, Буландынский район, с.
Капитоновка) -15 домов) / Строительство одноквартирных  жилых
домов пострадавшим от паводков";269 142 401;
1158;16.09.2024;"ТОО ""Агрофирма ""Ирина и К"" Оплата (2 этап) по факту АВР , Договора №11-02-6-150 от 04.06.2024г., за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Счет №13 от 12.09.2024г. (Костанай обл, Джангельдинский р-он, с. Тауш, 5
жилых дома)";72 580 314;
1159;17.09.2024;"ТОО ""ОАД-27""Возмещение курсовой разницы  согл Счет  №127 от 06.09.2024г  за лекарственный препарат Эврисди (Рисдиплам) по Договору №09-02-3-234  от 30,05.2024г. Алматы (500
флаконов)";140 663 559;
1160;19.09.2024;"Academic Families LTDОплата (2 этап)  согласно  Доп.соглашения
№1 от 08.08.2024 года к Договору об опеке и попечительстве №11- 02-6-151 от 29.08.2023г.  за  проживание (на период 2024-2025 г.) Ерженіс Жұлдыз Мақсатқызы, 19.06.2007гр.,ученица 9-класса Республ.Каз.спец.музыкальной школы-интерната для одаренных детей им.А.К.Жубанова, в связи с обучением в  музыкальной школе Пурселл (Pursell school), Англия, г.Буши, Хартфордшир
(Bushey, Hertfordshire).";8 816 215;
1161;19.09.2024;"ТОО ""BERKATA MS"" Окончательная оплата 50% по . по Договору №09-02-3-249 от 17.06.2024г. .Cчет на оплату №6  от 11.09.2024г. Проект QH Обеспечение Нац.научного онкологического центра оборудованием для проведения трансплантации органов, на закуп Анестезиологическая рабочая станция LEON Plus (наркозно-дыхательный аппарат)  (1 единица)";19 350 000;
1162;23.09.2024;ТОО «ASPASIA LTD»Окончательная оплата 50%  по Сч №64  от 16.09.24г. по Договору № 09-02-3-271  от 17.07.24г. (Оборудование: Двухканальная комбинированная система Intelect Advanced M2762CC в комплекте) для ОО Ассоциация инвалидов ЕРЗИ, г.Алматы,ул.Желтоксан 110, Литер Б.  проект  «QH Жігер»;3 889 350;
1163;23.09.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за оплату НДС, таможенный сбор, услуги траспортировки  груза (Интерактивные комнаты ОМ Interactive Ltd-РК-Великобритания) Договор №09-02- 3-376 от 06.11.2023г.Аудандык/Заявка №22/Р-РЦ от 17.09.24г.";7 916 366;
1164;23.09.2024;"ТОО КОСТАНАЙ ЭЛИТ СТРОЙ  Оплата (3 этап) по факту АВР , Договора №11-02-6-240 от 13.06.2024г., за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.(г.Костанай,
с.Амантогай, с. Байгабыл, 2 дома)";22 856 608;
1165;23.09.2024;"ТОО ""СК Номад Строй "" Оплата (3 этап) по факту АВР, Договора
№11-02-6-173 от 12.06.2024г., за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.(Костанай обл, Амангельдинский район, с. Есир  -2 дома)";7 808 674;
1166;23.09.2024;"ТОО ""ЖайыкСтройПроект""Предоплата 50% по Договорам 11-02-6- 346, №11-02-6-347 от 19.09.24г. проект Создание с/библиотек и общ.центров в ЗКО. /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно-Казахстанской области»";12 157 768;
1167;23.09.2024;"ТОО ""ДалА Строй Сервис""Оплата 5%  (5 этап-ЗКО,п.Бұлдырты -5 домов) СМР по факту выполненных работ  по  Договор №11-02-6- 226 от 13.06.2024 .(Строительство 3-х одноквартирных и 1-го двухквартирных жилых домов по адресу ЗКО Сырымский район
п.Бұлдырты» - 5 домов)";6 627 095;
1168;23.09.2024;"ТОО ""Shine ProJect"" Окончательная оплата 50% (2 этап- ЗКО,п.Бұлдырты - 5 домов ) Авторский надзор по факту выполненных работ  по  Договор №11-02-6-227 от 13.06.2024г. (ЗКО)  Акт выполненных работ №49 от 10.09.2024 года, Счет №26 от 10.09.2024г./ Строительство 3-х одноквартирных и 1-го двухквартирных жилых домов по адресу ЗКО Сырымский район
п.Бұлдырты» - 5 домов (Авторский надзор)";319 421;
1169;23.09.2024;"ТОО ""Сарнати""Окончательная оплата 50% (2 этап-ЗКО, п.Бұлдырты - 5  домов) Технический надзор по факту выполненных работ  по  Договору  №11-02-6-228  от 13.06.2024 год  Акт выполненных работ №43 от 11.09.2024 года,
/Строительство 3-х одноквартирных и 1-го двухквартирных жилых домов по адресу ЗКО Сырымский район п.Бұлдырты» -
всего 5  домов)";1 418 545;
1170;25.09.2024;"ТОО ""ROUND KZ""Окончат опл 70%""QH 76 детских спортивных залов"" по договорам  №11-02-6-287,№11-02-6-285 от 13.08.2024г.";7 603 050;
1171;25.09.2024;"ИП SPORT TIMEОкончат оплата 70% ""QH 76 детских спортивных
залов""  по договорам поставок: №11-02-6-292,11-02-6-294,11-02-6- 295 от 13.08.24";5 223 260;
1172;25.09.2024;"ТОО ""ROUND KZ""Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам №11-02-6-339, №11-02-6-340, №11-02-6- 341, №11-02-6-342 от 19.09.24г, счета 212,213,214,215 от
19.09.24г.";6 678 600;
1173;25.09.2024;"ИП SPORT TIMEПредоплата 30% ""QH 76 детских спортивных
залов""  по договорам поставок: №11-02-6-343, 11-02-6-344, 11-02- 6-345 от 19.09.24г.";2 214 540;
1174;25.09.2024;"ТОО ""МарСам""(1 этап -РБК-Акмол обл., Буландинский р- он,с.Вознесенка,16 домов)  Оплата по факту выполненных услуг по  Договору  №11-02-6-298 от 19.08.2024г. ""Строительство жилых  домов (16шт.)  по адресу:  с.Вознесенка, Буландинский района, Акмолинской области"" без благоустройства).";175 394 874;
1175;25.09.2024;"ТОО Abai baspasyПредоплата 50% по Договору  № 11-02-6-348 от 20.09.24г  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/
Jañaklub” в Западно-Казахстанской области»";2 988 755;
1176;25.09.2024;ТОО Дом книги Жәңгір ханПредоплата 50% по Договору  № 11-02 6-349 от 20.09.24г  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно-Казахстанской области»;2 387 400;
1177;25.09.2024;"ТОО Көкжиек-ГоризонтПредоплата 50% по Договору  № 11-02-6- 350 от 20.09.24г   /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа
клуб/ Jañaklub” в Западно-Казахстанской области»";2 260 375;
1178;25.09.2024;"ТОО МАЗМҰНДАМА БАСПАСЫПредоплата 50% по Договору
№ 11-02-6-351 от 20.09.24г   /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно-Казахстанской области»";4 965 938;
1179;25.09.2024;"ТОО Отбасы баспа үйіПредоплата 50% по Договору  № 11-02-6- 352 от 20.09.24г  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа
клуб/ Jañaklub” в Западно-Казахстанской области»";622 750;
1180;25.09.2024;"ТОО Самга баспасыПредоплата 50% по Договору  № 11-02-6-353 от 20.09.24г  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/
Jañaklub” в Западно-Казахстанской области»";5 827 100;
1181;25.09.2024;ТОО Издательство ФолиантПредоплата 50% по Договору  № 11- 02-6-354 от 20.09.24г  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно-Казахстанской области»;13 602 250;
1182;25.09.2024;"ТОО Qasym баспа үйіПредоплата 50% по Договору  № 11-02-6- 355 от 20.09.24г   /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа
клуб/ Jañaklub” в Западно-Казахстанской области»";1 221 250;
1183;25.09.2024;"ТОО ATTECH PreschoolОплата по факту поставки по Договорам
№РЦ/2023-13-2, №РЦ/2023-13-5, №РЦ/2023-13-6 от 10.07.2024г.
(Канц.товары, учебники, демонстративный материал)  (СКО, Кар.обл, г.Шымкент)  для  ПС №31 от 27.02.23г.проект ""QH Оналту орталыктары"".";1 500 000;
1184;25.09.2024;"ТОО ATTECH PreschoolОплата 100 % по факту поставки по Договорам №РЦ/2023-13-3 от 10.07.2024г.(Настольные развивающие игры, демонстративный материал -19 позиций)  Для КГП на ПХВ Соматический санаторий Карлыгаш УЗ Улытау
область Проект  ""QH Оңалту орталықтары";500 000;
1185;25.09.2024;"ТОО ""METAMED""Оплата 100 % по факту услуги   по Договору
№РЦ/2023-14-3 от 06.08.2024г. (Услуга по сборке и установке медицинсчкого оборудования)  Для  КГП на ПХВ Соматический санаторий ""Карлыгаш"" УЗ Улытау область) Проект  ""QH Оңалту орталықтары""";136 000;
1186;25.09.2024;"ТОО ""МебельBro""Окончательная оплата 70% по сч №33  от 13.09.24г. по  Договору  №РЦ/2023-10-3 от 09.04.24г. (Мебель и декор -16 позиций)  Для  КГП на ПХВ Соматический санаторий ""Карлыгаш"" УЗ Улытау область)  проект QH Оналту орталыктары.";6 209 140;
1187;25.09.2024;"ТОО ""METAMED""Оплата 100 % по факту услуги  по Договору
№РЦ/2023-14-2 от 06.08.2024г. (Услуга по сборке и установке медицинсчкого оборудования)  Для  КГП на ПХВ Многопроф.детская обл.больница УЗ СКО) Проект  ""QH Оңалту
орталықтары""";136 000;
1188;25.09.2024;"ТОО ""METAMED""Оплата 100 % по факту услуги  по Договору
№РЦ/2023-14-1 от 06.08.2024г.  (Услуга по сборке и установке медицинсчкого оборудования)  (Для  КГП на ПХВ Областной реабилитационный центр Павлодарской области) ) Проект  ""QH Оңалту орталықтары""";136 000;
1189;25.09.2024;"ТОО ATTECH PreschoolОплата 100 % по факту поставки по Договорам №РЦ/2023-13-1 от 10.07.2024г. (Настольные развивающие игры, демонстративный материал -19 позиций) (Для  КГП на ПХВ Областной реабилитационный центр
Павлодарской области)";500 000;
1190;25.09.2024;"ТОО КМТ-СитиСтройОплата 5% предокончат оплата (4 этап- ЗКО,п. Жампиты - 5 домов) СМР по факту выполненных работ  по Договор №11-02-6-229 от 13.06.2024 год  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. АВР №10  за 27.08.2024 года/Строительство 5-ти одноквартирных жилых домов по адресу Западно-Казахстанская область Сырымский район
п.Жампиты»)";6 783 252;
